"","FAMNUM","SITE","FAMSIZE","TREAT","TOTFAMINC74","HHHRWRK","RACIALHH","MHETHNIC","FHETHNIC","AVGPROD","HMEVAL","VEHVAL","OTHVAL","LIQASSETS","DEBTS"
"234",8267,"Winnipeg",5,3,6323,130,0,NA,"Canadian",48.6384615384615,45000,1000,NA,7000,1050
"235",8283,"Winnipeg",2,5,7565,800,1,"Canadian","Black",9.45625,NA,4500,NA,0,7300
"236",8315,"Winnipeg",4,9,8222,800,0,"Canadian","Canadian",10.2775,NA,650,NA,585,870
"237",8383,"Winnipeg",6,9,11472,800,0,"Canadian","Canadian",14.34,NA,5300,NA,1200,2300
"238",8399,"Winnipeg",3,9,NA,400,0,NA,"Canadian",NA,NA,200,NA,0,8000
"239",8444,"Winnipeg",1,3,19817,NA,0,NA,"Canadian",NA,NA,3500,NA,900,3000
"240",8531,"Winnipeg",10,7,6226,800,0,"English","English",7.7825,NA,NA,NA,0,3600
"241",8552,"Winnipeg",1,4,16662,NA,0,"German",NA,NA,NA,0,NA,1200,900
"242",8585,"Winnipeg",2,5,16130,640,0,"Ukrainian","Ukrainian",25.203125,NA,4500,NA,1050,4850
"243",8594,"Winnipeg",4,1,12791,840,0,"Ukrainian","Ukrainian",15.227380952381,NA,3500,NA,1400,0
"244",8599,"Winnipeg",3,4,8598,800,0,"Canadian","Canadian",10.7475,16000,400,NA,0,2375
"245",8600,"Winnipeg",3,5,6319,640,0,NA,"English",9.8734375,NA,0,NA,3,1000
"246",8632,"Winnipeg",6,5,8969,800,0,"Canadian","Canadian",11.21125,9000,1625,NA,0,7300
"247",8635,"Winnipeg",4,9,8601,815,0,NA,NA,10.5533742331288,20000,3400,NA,0,4900
"248",8651,"Winnipeg",1,5,6252,NA,0,NA,"Belgian/Dutch",NA,12000,0,NA,4500,0
"249",8660,"Winnipeg",3,5,7664,800,0,"Canadian","Canadian",9.58,NA,500,NA,0,0
"250",8671,"Winnipeg",4,5,10396,775,0,"Ukrainian","Ukrainian",13.4141935483871,27000,2700,16000,NA,0
"251",8707,"Winnipeg",1,3,775,NA,0,NA,NA,NA,NA,0,NA,0,0
"252",8779,"Winnipeg",6,5,6748,800,0,"Canadian","English",8.435,18000,300,NA,0,120
"253",8811,"Winnipeg",4,1,16176,760,0,"Ukrainian","Canadian",21.2842105263158,20000,3800,NA,2000,918
"254",8865,"Winnipeg",1,3,858,NA,0,NA,NA,NA,NA,0,NA,0,0
"255",8879,"Winnipeg",7,8,6980,800,0,"Canadian","Canadian",8.725,NA,300,NA,4000,1246
"256",9100,"Winnipeg",1,2,10159,NA,1,NA,"Philippine",NA,NA,0,NA,300,0
"257",9101,"Winnipeg",1,2,9755,NA,0,NA,NA,NA,NA,0,NA,600,0
"258",9110,NA,NA,7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"259",9119,"Winnipeg",2,6,7430,1000,0,"Canadian","Canadian",7.43,NA,0,NA,0,1250
"260",9150,"Winnipeg",5,8,15614,775,0,NA,NA,20.1470967741935,NA,2000,8050,1000,8000
"261",9207,"Winnipeg",2,2,8195,941,0,"French","French",8.70882040382572,NA,1200,15000,502,0
"262",9227,"Winnipeg",1,1,2786,NA,0,NA,"English",NA,NA,250,NA,300,1400
"263",9235,"Winnipeg",2,9,5796,NA,0,NA,NA,NA,NA,0,NA,800,149
"264",9365,"Winnipeg",2,9,9767,NA,0,NA,NA,NA,NA,0,NA,14000,0
"265",9374,"Winnipeg",1,4,6901,NA,0,NA,"Jewish",NA,NA,0,NA,0,200
"266",9519,"Winnipeg",2,9,19380,775,1,"Chinese","Canadian",25.0064516129032,NA,1200,NA,3150,100
"267",9553,"Winnipeg",1,1,14652,NA,0,NA,NA,NA,NA,100,NA,30,650
"268",9612,"Winnipeg",1,3,4054,NA,0,NA,"Canadian",NA,NA,0,NA,537,205
"269",9617,"Winnipeg",2,8,9326,633,0,NA,NA,14.7330173775671,NA,0,NA,100,1224
"270",9625,"Winnipeg",2,9,7590,NA,0,NA,NA,NA,NA,0,NA,485,474
"271",9673,"Winnipeg",6,6,3181,400,0,"Metis",NA,7.9525,NA,450,NA,0,0
"272",9676,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"273",9679,"Winnipeg",5,4,9878,615,0,"Canadian","Russian",16.0617886178862,30000,400,NA,2600,500
"274",9749,"Winnipeg",2,4,3894,0,0,NA,NA,0,NA,0,NA,0,0
"275",9776,"Winnipeg",6,3,7323,530,0,"Canadian","Canadian",13.8169811320755,25000,0,NA,14000,700
"276",9786,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"277",9798,"Winnipeg",4,2,5967,800,0,"Italian","Italian",7.45875,22000,3600,NA,6400,9000
"278",9800,"Winnipeg",2,8,4037,NA,0,NA,"Yugoslavian/Czech/Hungarian",NA,19000,0,NA,2500,245
"279",9837,"Winnipeg",7,7,7983,800,0,"Canadian","Canadian",9.97875,45000,2600,NA,700,240
"280",9957,"Winnipeg",6,8,8680,940,0,"Spanish/Portuguese","Spanish/Portuguese",9.23404255319149,18000,0,NA,0,5000
"281",9971,"Winnipeg",4,3,8661,750,0,NA,"German",11.548,20000,0,NA,0,1400
"282",10021,"Winnipeg",4,2,NA,880,1,"Philippine","Philippine",NA,22000,2900,NA,NA,4600
"283",10023,"Winnipeg",5,9,6763,800,0,"Canadian","Canadian",8.45375,NA,100,NA,1300,2300
"284",10065,"Winnipeg",5,1,9352,800,0,"Canadian","Canadian",11.69,27000,6300,NA,NA,5000
"285",10077,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"286",10140,"Winnipeg",5,5,4911,NA,0,NA,NA,NA,NA,0,NA,0,0
"287",10150,"Winnipeg",4,4,8500,530,0,"Canadian","Canadian",16.0377358490566,19000,1700,NA,NA,1700
"288",10162,"Winnipeg",5,4,10171,800,0,"French","French",12.71375,30000,400,NA,5800,0
"289",10170,"Winnipeg",4,3,3733,NA,0,NA,"Canadian",NA,NA,0,NA,0,0
"290",10177,"Winnipeg",4,9,6797,800,0,"Canadian","Canadian",8.49625,10000,100,400,0,NA
"291",10254,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"292",10256,"Winnipeg",1,8,4028,NA,0,NA,NA,NA,NA,0,NA,200,0
"293",10262,"Winnipeg",3,4,9080,490,0,"Canadian","Canadian",18.530612244898,NA,4500,NA,NA,5000
"294",10288,"Winnipeg",3,6,6030,NA,0,"Ukrainian",NA,NA,NA,500,NA,150,275
"295",10323,"Winnipeg",6,3,7916,NA,0,NA,NA,NA,10900,2200,NA,350,2240
"296",10325,"Winnipeg",3,9,7365,750,0,"Canadian","Canadian",9.82,NA,0,NA,900,1350
"297",10361,"Winnipeg",6,5,9000,800,1,"Metis","Native Indian non-band",11.25,8000,3000,NA,600,6800
"298",10419,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"299",10585,"Winnipeg",3,2,7535,NA,0,"Scottish",NA,NA,NA,0,NA,103,1167
"300",10618,"Winnipeg",6,4,4821,875,0,"German","German",5.50971428571429,45000,NA,NA,5400,0
"301",10678,"Winnipeg",6,5,9672,750,0,NA,"Italian",12.896,20000,3400,NA,2800,0
"302",10701,"Winnipeg",3,2,4102,NA,0,NA,"Irish",NA,NA,1500,NA,NA,1725
"303",10737,"Winnipeg",7,1,4999,NA,0,NA,NA,NA,NA,0,NA,0,1040
"304",10743,"Winnipeg",1,9,3256,NA,0,NA,NA,NA,NA,0,NA,0,400
"305",10747,"Winnipeg",5,3,8131,810,0,"Ukrainian","German",10.0382716049383,NA,900,NA,0,4778
"306",10753,"Winnipeg",5,4,3225,0,0,NA,NA,0,18000,200,NA,NA,550
"307",10859,"Winnipeg",6,1,6233,800,0,"Canadian","Canadian",7.79125,NA,700,NA,300,1620
"308",10869,"Winnipeg",6,6,4980,NA,0,NA,"Canadian",NA,NA,0,NA,0,123
"309",10911,"Winnipeg",3,9,11104,480,0,"Ukrainian",NA,23.1333333333333,NA,2000,NA,NA,300
"310",10923,"Winnipeg",3,3,6299,520,0,"German","Canadian",12.1134615384615,NA,2800,NA,NA,4250
"311",10929,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"312",11003,"Winnipeg",1,9,2120,NA,0,NA,NA,NA,30000,0,NA,400,0
"313",11028,"Winnipeg",3,6,5473,785,0,"English","English",6.97197452229299,NA,1000,NA,1700,8000
"314",11029,"Winnipeg",3,9,9761,840,0,"Italian","Italian",11.6202380952381,18000,1600,NA,0,0
"315",11047,"Winnipeg",4,2,7857,800,1,"Native Indian band","Native Indian band",9.82125,21000,0,NA,0,850
"316",11073,"Winnipeg",3,4,5127,513,0,"Canadian","Irish",9.99415204678363,NA,550,NA,900,5110
"317",11096,"Winnipeg",3,1,8760,860,0,"Canadian","Canadian",10.1860465116279,NA,800,NA,0,3200
"318",11098,"Winnipeg",3,1,7804,760,0,NA,NA,10.2684210526316,NA,2900,NA,0,8050
"319",11110,"Winnipeg",5,1,8232,720,0,"Canadian","Ukrainian",11.4333333333333,NA,2610,NA,1000,3100
"320",11237,"Winnipeg",4,9,5823,640,0,NA,NA,9.0984375,20000,0,NA,440,2000
"321",11250,"Winnipeg",4,6,8146,785,0,"English","Canadian",10.3770700636943,NA,30,NA,400,2925
"322",11260,"Winnipeg",6,4,4617,880,0,"Canadian","Canadian",5.24659090909091,NA,NA,NA,0,300
"323",11292,"Winnipeg",2,4,9103,798,1,"West Indian","West Indian",11.4072681704261,NA,0,NA,1400,1660
"324",11332,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"325",11382,"Winnipeg",2,6,9188,NA,0,NA,"Polish",NA,NA,900,NA,250,0
"326",11407,"Winnipeg",2,5,13941,850,0,NA,NA,16.4011764705882,NA,1200,NA,385,1500
"327",11499,"Winnipeg",3,5,10968,800,0,"English","Canadian",13.71,30000,2500,NA,1800,2460
"328",11538,"Winnipeg",5,8,12493,670,0,"Scottish","French",18.6462686567164,NA,600,NA,2200,0
"329",11549,"Winnipeg",3,8,4066,800,0,NA,NA,5.0825,NA,3900,NA,3500,4500
"330",11601,"Winnipeg",4,3,9027,790,0,"French","French",11.426582278481,NA,2300,NA,0,4000
